Provider,Tier,Latest Version,Latest Version Published,Created At,Days Since Update,,Protocol v4,Protocol v5,Protocol v6,,Cohort: Framework only,Cohort: SDKv2 only,Cohort: Framework+SDKv2,,Managed Resources,Resource Identities,Data Sources,Ephemeral Resources,List Resources,Actions,Provider Functions,Guides,Total Features,,Downloads,Version Count,Subcategories
AdconnectDevOps/regions,community,1.0.6,2025-08-29,2025-08-29,261,,,✅,,,,✅,,,0,0,0,0,0,0,0,0,0,,200,1,0
AdconnectDevOps/shodan,community,0.1.19,2026-05-15,2025-08-26,2,,,✅,,,,✅,,,2,0,2,0,0,0,0,3,4,,1.4K,16,0
adduc/docker,community,0.0.4,2025-08-21,2025-08-19,269,,,,✅,,✅,,,,0,0,3,0,0,0,0,0,3,,292,2,0
adduc/woodpecker,community,0.4.0,2023-06-03,2022-11-10,1079,,,,✅,,✅,,,,7,0,8,0,0,0,0,0,15,,5.4K,5,0
adeleporte/velocloud,community,0.3.5,2021-05-14,2020-10-08,1829,,,✅,,,,✅,,,6,0,5,0,0,0,0,2,11,,35.2K,14,0
ademariag/postgresql,community,1.9.2-lazy,2020-12-28,2020-12-24,1966,,,✅,,,,✅,,,7,0,0,0,0,0,0,0,7,,16.4K,4,0
AdeptMind/googleworkspace,community,0.7.2,2022-10-28,2022-10-28,1297,,,✅,,,,✅,,,13,0,14,0,0,0,0,1,27,,1.6K,1,0
Adhara-Tech/ethereum,community,0.0.2,2021-03-10,2021-03-10,1894,,,✅,,,,✅,,,0,0,0,0,0,0,0,0,0,,10.1K,1,0
AdikaStyle/commercetools,community,1.1.6,2021-04-03,2020-12-30,1870,,,✅,,,,✅,,,0,0,0,0,0,0,0,0,0,,25.6K,15,0
adminsentecacommerce/tfvars,community,1.0.0,2023-03-02,2023-03-02,1172,,,✅,,,,✅,,,0,0,1,0,0,0,0,0,1,,351.7K,1,0
admiral-io/admiral,community,0.1.2,2026-04-11,2026-03-30,36,,,,✅,,✅,,,,1,0,1,0,0,0,0,0,2,,214,3,0
adnankobir/concourse,community,1.0.0,2024-11-25,2024-11-25,538,,,,✅,,✅,,,,0,0,0,0,0,0,0,0,0,,1.1K,1,0
adnsio/k0s,community,0.0.3,2022-07-03,2022-06-27,1414,,,,✅,,✅,,,,1,0,0,0,0,0,0,0,1,,14.9K,3,0
adovy/kafka,community,0.0.1,2026-03-05,2026-03-05,73,,,✅,,,,✅,,,4,0,2,0,0,0,0,5,6,,957,1,0
AdrianSilaghi/danubedata,community,0.2.0,2026-04-20,2026-01-19,27,,,✅,,,,✅,,,9,0,12,0,0,0,0,3,21,,294,5,0
adriansuarez/hashicups,community,0.2.1,2024-03-05,2024-03-05,803,,,,✅,,✅,,,,1,0,1,0,0,0,0,0,2,,692,1,0
AdrienneCohea/nomadutility,community,0.0.14,2020-12-17,2020-12-10,1977,,,✅,,,,✅,,,0,0,0,0,0,0,0,0,0,,13.7K,10,0
AdrienneCohea/vaultutility,community,0.0.3,2020-08-04,2020-08-04,2112,,,✅,,,,✅,,,1,0,0,0,0,0,0,0,1,,12.0K,2,0
advancedhosting/ah,partner,0.3.6,2025-05-29,2020-10-09,353,,,✅,,,,✅,,,9,0,10,0,0,0,0,0,19,,52.8K,16,0
