Provider,Tier,Latest Version,Latest Version Published,Created At,Days Since Update,,Protocol v4,Protocol v5,Protocol v6,,Cohort: Framework only,Cohort: SDKv2 only,Cohort: Framework+SDKv2,,Managed Resources,Resource Identities,Data Sources,Ephemeral Resources,List Resources,Actions,Provider Functions,Guides,Total Features,,Downloads,Version Count,Subcategories
MyPureCloud/genesyscloud,partner,1.81.0,2026-05-26,,1,,,✅,,,,✅,,,137,0,111,0,0,0,0,2,248,,6.9M,151,1
Cox-Automotive/alks,community,2.8.2,2024-01-18,,860,,,✅,,,,✅,,,3,0,1,0,0,0,0,2,4,,6.9M,28,0
spectrocloud/spectrocloud,partner,0.29.3-pre,2026-05-25,,2,,,✅,,,,✅,,,52,0,35,0,0,0,0,0,87,,6.8M,219,0
EppO/environment,community,1.3.8,2025-03-12,,441,,,,✅,,✅,,,,0,0,1,0,0,0,0,0,1,,6.7M,11,0
vmware/nsxt,partner,3.12.0,2026-05-17,,11,,,✅,,,,✅,,,223,0,125,0,0,0,0,5,348,,6.7M,32,21
Ouest-France/ldap,community,0.8.12,2024-02-01,,846,,,✅,,,,✅,,,2,0,3,0,0,0,0,0,5,,6.7M,27,0
datadrivers/nexus,community,2.8.0,2026-05-26,,2,,,✅,,,,✅,,,67,0,68,0,0,0,0,0,135,,6.7M,31,7
cloudamqp/cloudamqp,community,1.45.3,2026-05-07,,20,,,✅,,,,✅,,,28,0,14,0,0,0,0,7,42,,6.6M,83,1
davidji99/herokux,community,1.4.7,2025-08-15,,286,,,✅,,,,✅,,,31,0,6,0,0,0,0,0,37,,6.3M,91,0
FlexibleEngineCloud/flexibleengine,community,1.46.0,2024-03-20,,799,,,✅,,,,✅,,,240,0,116,0,0,0,0,1,356,,6.3M,43,54
NitriKx/postgresql,community,1.21.2,2024-02-02,,846,,,✅,,,,✅,,,14,0,3,0,0,0,0,0,17,,6.3M,2,0
Venafi/venafi,partner,0.23.1,2025-10-06,,233,,,✅,,,,✅,,,5,0,2,0,0,0,0,0,7,,6.0M,33,3
vmware/avi,partner,32.1.1,2026-05-19,,8,,,✅,,,,✅,,,146,0,145,0,0,0,0,0,291,,5.8M,37,0
